                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2395,                 2.1134,                 1.2461,                      1,                0.99376,                  0.995,                 0.3976,                 2.2495,                 1.3564,                 1.5738,               0.070074,              0.0033251,              0.0033251
                      2,                 1.1351,                 1.1749,                 1.1291,                0.98564,                      1,                  0.995,                0.39241,                 2.1681,                 1.2412,                 1.5654,               0.040009,              0.0065925,              0.0065925
                      3,                 1.1621,                 1.0784,                 1.1738,                      1,                0.99425,                  0.995,                 0.2782,                 2.7234,                 1.3324,                 1.9151,              0.0098766,              0.0097939,              0.0097939
                      4,                  1.133,                 1.0604,                  1.172,                0.99384,                      1,                  0.995,                0.47995,                 1.8414,                 1.5527,                 1.5253,               0.009703,               0.009703,               0.009703
                      5,                 1.1348,                 1.0584,                 1.1794,                0.48231,                0.74692,                0.61885,                0.25461,                 2.2958,                 2.0243,                 1.7825,               0.009703,               0.009703,               0.009703
                      6,                 1.0942,                 1.0413,                 1.1576,                0.82989,                      1,                0.96833,                0.32265,                 2.0907,                 1.5973,                 1.4651,               0.009604,               0.009604,               0.009604
                      7,                 1.0866,                0.96663,                 1.1576,                0.90673,                0.97398,                0.96773,                 0.4041,                 2.0199,                   1.19,                 1.3979,               0.009505,               0.009505,               0.009505
                      8,                 1.0768,                0.99679,                 1.1632,                0.34671,                    0.7,                0.41152,                0.16002,                 2.4731,                 2.3366,                 2.1084,               0.009406,               0.009406,               0.009406
                      9,                 1.0552,                 1.0033,                 1.1401,                0.57774,                0.68525,                0.46076,                0.12498,                 2.3627,                 2.3719,                 1.8446,               0.009307,               0.009307,               0.009307
                     10,                 1.0466,                0.92724,                 1.1378,                0.52083,                0.87081,                0.60363,                0.19178,                 2.4426,                 1.9902,                 1.6729,               0.009208,               0.009208,               0.009208
                     11,                 1.0232,                0.88951,                 1.1353,                0.64214,                0.89739,                0.63786,                0.23357,                    2.3,                 2.6846,                  1.697,               0.009109,               0.009109,               0.009109
                     12,                  1.027,                0.82584,                 1.1506,                0.97042,                      1,                  0.995,                0.27854,                 2.3127,                 1.5036,                 1.6834,                0.00901,                0.00901,                0.00901
                     13,                 1.0385,                0.85326,                 1.1637,                0.75387,                    0.9,                0.86903,                0.25806,                 2.4216,                 1.5961,                 1.7614,               0.008911,               0.008911,               0.008911
                     14,                 1.0066,                0.74503,                 1.1367,                0.54573,                    0.9,                0.64472,                0.26464,                 2.1252,                 1.6775,                 1.5917,               0.008812,               0.008812,               0.008812
                     15,                0.96913,                0.73264,                 1.1211,                0.60277,                    0.8,                0.76994,                0.26335,                 2.3327,                 1.6384,                 1.8775,               0.008713,               0.008713,               0.008713
                     16,                 0.9766,                0.72869,                 1.1412,                0.90496,                      1,                0.96773,                0.33334,                 2.2252,                 1.2411,                 1.7563,               0.008614,               0.008614,               0.008614
                     17,                 1.0068,                0.73478,                 1.1601,                0.97788,                    0.9,                0.98591,                0.29632,                 2.2547,                 1.4995,                 1.8555,               0.008515,               0.008515,               0.008515
                     18,                0.95282,                0.69525,                 1.1364,                0.90668,                0.97344,                0.93136,                0.30295,                 2.3037,                 1.2849,                 1.8061,               0.008416,               0.008416,               0.008416
                     19,                0.96323,                 0.7571,                 1.1334,                0.74191,                    0.9,                0.81119,                0.24852,                 2.4627,                 1.5895,                 2.2337,               0.008317,               0.008317,               0.008317
                     20,                0.95273,                0.70033,                 1.1386,                0.95825,                    0.9,                0.97833,                0.32424,                  2.294,                 1.4037,                 1.9096,               0.008218,               0.008218,               0.008218
                     21,                0.92625,                0.68919,                 1.1126,                0.99286,                      1,                  0.995,                0.41981,                 1.9846,                 1.1387,                 1.5885,               0.008119,               0.008119,               0.008119
                     22,                 0.9353,                0.68454,                 1.1136,                0.90847,                0.99315,                0.98591,                0.35595,                  2.275,                 1.2213,                 1.7674,                0.00802,                0.00802,                0.00802
                     23,                0.92197,                0.65557,                 1.1075,                0.89369,                    0.9,                0.82624,                0.29428,                 2.5059,                 1.2883,                 1.9683,               0.007921,               0.007921,               0.007921
                     24,                0.91864,                0.61818,                 1.1283,                0.99136,                      1,                  0.995,                0.38631,                 2.1689,                0.94251,                 1.7594,               0.007822,               0.007822,               0.007822
                     25,                0.87093,                0.72872,                  1.101,                0.99257,                      1,                  0.995,                0.35355,                 2.1403,                0.88797,                 1.7402,               0.007723,               0.007723,               0.007723
                     26,                0.88222,                0.67654,                 1.1073,                0.98944,                      1,                  0.995,                0.49158,                 1.8451,                0.87433,                 1.5718,               0.007624,               0.007624,               0.007624
                     27,                0.89527,                0.67315,                 1.1072,                0.94675,                      1,                  0.995,                0.38907,                 2.2025,                0.99924,                 1.8901,               0.007525,               0.007525,               0.007525
                     28,                0.86929,                0.64198,                 1.0866,                0.99137,                      1,                  0.995,                0.33953,                 2.3982,                0.89256,                 1.7965,               0.007426,               0.007426,               0.007426
                     29,                0.88284,                0.60366,                 1.1049,                0.99068,                      1,                  0.995,                  0.274,                 2.6904,                 1.0927,                 2.1449,               0.007327,               0.007327,               0.007327
                     30,                0.88097,                0.68306,                 1.1074,                0.83213,                0.99203,                   0.92,                0.30947,                 2.3985,                 1.1623,                 1.9913,               0.007228,               0.007228,               0.007228
                     31,                0.87092,                0.59831,                 1.1061,                0.64652,                    0.9,                 0.7201,                0.25088,                 2.3228,                   1.35,                 1.8333,               0.007129,               0.007129,               0.007129
                     32,                0.88983,                0.58905,                 1.1286,                0.90558,                      1,                0.97682,                0.33968,                 2.3117,                 1.0246,                 2.0202,                0.00703,                0.00703,                0.00703
                     33,                0.86791,                0.57015,                 1.1107,                0.99329,                      1,                  0.995,                0.36033,                  2.353,                0.97927,                 2.2746,               0.006931,               0.006931,               0.006931
                     34,                0.84407,                0.57689,                 1.0902,                0.99385,                      1,                  0.995,                0.28056,                 2.5799,                 1.0709,                 2.4647,               0.006832,               0.006832,               0.006832
                     35,                0.82381,                0.61886,                 1.0836,                0.99279,                      1,                  0.995,                0.33847,                 2.1905,                 1.0034,                 2.1774,               0.006733,               0.006733,               0.006733
                     36,                0.85801,                0.57096,                 1.1077,                0.76605,                    0.9,                0.85287,                0.26798,                 2.5516,                 1.2057,                  2.158,               0.006634,               0.006634,               0.006634
                     37,                0.87549,                0.59994,                 1.1135,                0.99268,                      1,                  0.995,                0.23237,                  2.522,                  1.115,                 2.1298,               0.006535,               0.006535,               0.006535
                     38,                0.83211,                 0.5772,                 1.0974,                0.74559,                    0.9,                0.72263,                0.18744,                 2.8035,                 1.1789,                 2.1916,               0.006436,               0.006436,               0.006436
                     39,                 0.8361,                0.53242,                 1.0913,                 0.7434,                    0.9,                 0.7018,                0.25332,                 2.3476,                  1.147,                 1.9687,               0.006337,               0.006337,               0.006337
                     40,                0.85328,                0.55116,                 1.0918,                0.80876,                    0.9,                0.83412,                0.24492,                 2.7925,                 1.1378,                 2.4036,               0.006238,               0.006238,               0.006238
                     41,                 0.7882,                0.52995,                  1.066,                0.89851,                      1,                0.98591,                0.27558,                 2.5811,                0.96284,                  2.138,               0.006139,               0.006139,               0.006139
                     42,                0.80836,                0.56668,                 1.0754,                      1,                  0.996,                  0.995,                0.27722,                 2.5983,                0.96723,                 2.2406,                0.00604,                0.00604,                0.00604
                     43,                0.81838,                0.55738,                 1.0995,                0.89962,                      1,                0.98591,                0.36678,                 2.3668,                 0.8312,                 2.2023,               0.005941,               0.005941,               0.005941
                     44,                0.80872,                0.53604,                 1.0984,                0.68164,                    0.9,                0.67535,                0.21934,                 2.5835,                 1.3875,                   2.21,               0.005842,               0.005842,               0.005842
                     45,                0.82842,                  0.562,                 1.0963,                0.88518,                      1,                0.96773,                0.36237,                  2.303,                 1.0406,                 2.0553,               0.005743,               0.005743,               0.005743
                     46,                 0.8284,                0.55423,                 1.0922,                      1,                0.99881,                  0.995,                0.42074,                 2.1477,                0.79854,                 2.0901,               0.005644,               0.005644,               0.005644
                     47,                0.85522,                0.53929,                 1.1075,                0.89915,                0.89233,                0.81839,                0.24635,                 2.5685,                 1.1471,                 2.1862,               0.005545,               0.005545,               0.005545
                     48,                 0.7917,                0.51877,                 1.0894,                      1,                 0.9999,                  0.995,                0.29659,                 2.3455,                0.97986,                  2.237,               0.005446,               0.005446,               0.005446
                     49,                 0.7856,                0.55328,                 1.0704,                0.90357,                      1,                0.98591,                0.25553,                 2.5706,                0.97442,                 2.3351,               0.005347,               0.005347,               0.005347
                     50,                0.81689,                0.53183,                 1.0849,                0.99008,                      1,                  0.995,                 0.3278,                 2.3816,                0.89433,                 2.0308,               0.005248,               0.005248,               0.005248
                     51,                0.79638,                0.52253,                 1.0706,                0.99339,                      1,                  0.995,                0.37164,                 2.3178,                0.90864,                 2.0938,               0.005149,               0.005149,               0.005149
                     52,                0.80929,                0.49985,                 1.0808,                0.99405,                      1,                  0.995,                  0.427,                 2.1859,                0.85537,                 2.0371,                0.00505,                0.00505,                0.00505
                     53,                0.76887,                0.53614,                 1.0659,                0.98995,                      1,                  0.995,                0.43751,                 2.0303,                0.87581,                 1.8495,               0.004951,               0.004951,               0.004951
                     54,                0.76824,                0.51222,                 1.0621,                0.99526,                      1,                  0.995,                0.42683,                 2.0333,                0.99731,                 1.9223,               0.004852,               0.004852,               0.004852
                     55,                0.75993,                0.60214,                 1.0542,                      1,                0.99437,                  0.995,                0.43447,                 2.0671,                0.93154,                 1.8144,               0.004753,               0.004753,               0.004753
                     56,                0.75849,                0.56369,                 1.0504,                      1,                0.99754,                  0.995,                0.35251,                 2.2445,                 1.0251,                 2.0588,               0.004654,               0.004654,               0.004654
                     57,                0.75749,                0.57839,                 1.0413,                      1,                0.99351,                  0.995,                0.40847,                 2.1894,                0.93466,                 1.9948,               0.004555,               0.004555,               0.004555
                     58,                0.75464,                0.58568,                 1.0312,                0.89256,                      1,                0.98591,                0.31939,                  2.335,                0.95404,                 2.0314,               0.004456,               0.004456,               0.004456
                     59,                0.76623,                0.49064,                 1.0657,                0.99283,                      1,                  0.995,                 0.3609,                 2.2518,                0.91327,                 1.9583,               0.004357,               0.004357,               0.004357
                     60,                  0.779,                0.57246,                 1.0701,                0.98909,                      1,                  0.995,                0.42819,                  2.029,                0.95318,                 1.9936,               0.004258,               0.004258,               0.004258
                     61,                0.73839,                 0.4844,                 1.0407,                0.98012,                      1,                  0.995,                0.37775,                 2.3582,                 1.0005,                  2.142,               0.004159,               0.004159,               0.004159
                     62,                0.73564,                0.46122,                 1.0501,                0.99216,                      1,                  0.995,                0.38352,                 2.3281,                 0.9053,                  2.098,                0.00406,                0.00406,                0.00406
                     63,                0.71199,                0.45531,                 1.0375,                      1,                0.98989,                  0.995,                0.29864,                 2.5812,                 1.0036,                 2.3465,               0.003961,               0.003961,               0.003961
                     64,                0.74848,                0.49598,                 1.0691,                      1,                0.98045,                  0.995,                0.35885,                 2.3827,                 1.1018,                 2.2785,               0.003862,               0.003862,               0.003862
                     65,                0.75614,                0.48499,                 1.0667,                0.90877,                0.99651,                0.98591,                 0.3522,                 2.3277,                 1.1794,                 2.1191,               0.003763,               0.003763,               0.003763
                     66,                0.72987,                 0.5013,                  1.039,                0.90746,                      1,                  0.995,                0.38678,                 2.1849,                0.94009,                  2.001,               0.003664,               0.003664,               0.003664
                     67,                0.74761,                0.45535,                 1.0451,                0.90642,                      1,                0.98591,                0.45418,                 1.9546,                0.87059,                 1.9525,               0.003565,               0.003565,               0.003565
                     68,                0.71463,                0.47139,                 1.0203,                0.98531,                    0.9,                0.97192,                0.40147,                 2.0293,                 1.0236,                 1.9949,               0.003466,               0.003466,               0.003466
                     69,                0.73496,                0.54103,                 1.0541,                0.89369,                 0.8432,                0.94056,                0.33809,                 2.2383,                 1.2637,                 2.1441,               0.003367,               0.003367,               0.003367
                     70,                0.70232,                0.44382,                  1.051,                0.90659,                    0.8,                0.94056,                0.34304,                 2.2842,                 1.1047,                 2.1417,               0.003268,               0.003268,               0.003268
                     71,                0.71521,                0.46341,                  1.039,                0.78174,                    0.8,                0.91635,                0.35577,                 2.2375,                 1.3418,                 1.9821,               0.003169,               0.003169,               0.003169
                     72,                0.70177,                0.45433,                 1.0225,                      1,                 0.8746,                 0.9575,                0.36353,                 2.1951,                 1.2939,                 1.8849,                0.00307,                0.00307,                0.00307
                     73,                0.72049,                0.43595,                 1.0439,                0.76798,                    0.8,                0.86923,                0.36743,                 2.2411,                 1.2209,                 1.9947,               0.002971,               0.002971,               0.002971
                     74,                 0.7057,                0.42946,                 1.0401,                0.86747,                    0.9,                  0.935,                0.42464,                 1.9142,                 1.1654,                 1.7445,               0.002872,               0.002872,               0.002872
                     75,                0.70956,                 0.4307,                 1.0387,                0.95032,                    0.9,                0.95056,                0.41938,                 2.0399,                 1.0465,                 1.7972,               0.002773,               0.002773,               0.002773
                     76,                0.69692,                0.44644,                 1.0247,                0.80867,                    0.9,                0.90626,                0.38097,                 2.0937,                 1.0424,                  1.891,               0.002674,               0.002674,               0.002674
